Id,Label,sexlabel,type
410,Suketu Mehta,masculino,true
411,Raffaele La Capria,masculino,true
412,Carlo Sgorlon,masculino,true
413,Carolin Emcke,femenino,true
414,Walter Duranty,masculino,true
415,W. R. Burnett,masculino,true
416,Stephen Vincent Benét,masculino,true
417,John Steinbeck,masculino,true
418,Orhan Pamuk,masculino,true
419,Francis Carco,masculino,true
420,Jacques de Lacretelle,masculino,true
421,Boualem Sansal,masculino,true
422,Tomas Tranströmer,masculino,true
423,Wole Soyinka,masculino,true
424,Vincenzo Cardarelli,masculino,true
425,Manuel Mejía Vallejo,masculino,true
426,Alessandro Barbero,masculino,true
427,Juan Manuel de Prada,masculino,true
428,Henri Queffélec,masculino,true
429,Frédéric Vitoux,masculino,true
430,Stanislao Nievo,masculino,true
431,Goffredo Parise,masculino,true
432,António Cândido,masculino,true
433,Gordon Lish,masculino,true
434,Elizabeth McCracken,femenino,true
435,Elizabeth Stuckey-French,femenino,true
436,Daniyal Mueenuddin,masculino,true
437,Eddie Chuculate,masculino,true
438,Edison Marshall,masculino,true
439,Guido Piovene,masculino,true
440,Abdulrazak Gurnah,masculino,true
441,Anna Maria Ortese,femenino,true
442,Renata Adler,femenino,true
443,Manuel Alegre,masculino,true
444,Massimo Bontempelli,masculino,true
445,Kate Grenville,femenino,true
446,Olga Tokarczuk,femenino,true
447,Pierre Moinot,masculino,true
448,Doris Lessing,femenino,true
449,Pierre Schoendoerffer,masculino,true
450,Alison Baker,femenino,true
451,Anjana Appachana,femenino,true
452,Anne Leaton,femenino,true
453,Cornelia Nixon,femenino,true
454,Gerhart Hauptmann,masculino,true
455,Harold Pinter,masculino,true
456,Alexi Zentner,masculino,true
457,Amit Majmudar,masculino,true
458,Elizabeth Tallent,femenino,true
459,Ella Leffland,femenino,true
460,Inez Haynes Irwin,femenino,true
461,Tayari Jones,femenino,true
462,Autran Dourado,masculino,true
463,João Ubaldo Ribeiro,masculino,true
464,João Cabral de Melo Neto,masculino,true
465,Giuseppe Pontiggia,masculino,true
466,Kevin Brockmeier,masculino,true
467,Walter Van Tilburg Clark,masculino,true
468,Frederic Tuten,masculino,true
469,Guy de Pourtalès,masculino,true
470,Luis Goytisolo,masculino,true
471,Eric Faye,masculino,true
472,Vladimir Volkoff,masculino,true
473,Gordon Weaver,masculino,true
474,Harris Downey,masculino,true
475,Adélaïde de Clermont-Tonnerre,femenino,true
476,André Corthis,femenino,true
477,Mijaíl Shólojov,masculino,true
478,André Demaison,masculino,true
479,Bernard Barbey,masculino,true
480,Bernard du Boucheron,masculino,true
481,Camille Bourniquel,masculino,true
482,Selma Lagerlöf,femenino,true
483,Colum McCann,masculino,true
484,Charles Frazier,masculino,true
485,Louise Glück,femenino,true
486,Franz-Olivier Giesbert,masculino,true
487,François Nourissier,masculino,true
488,Óscar Hahn,masculino,true
489,Roberto Bolaño,masculino,true
490,Kléber Haedens,masculino,true
491,Albert Touchard,masculino,true
492,Kazuo Ishiguro,masculino,true
493,Alain Bosquet,masculino,true
494,Philippe Hériat,masculino,true
495,Heinrich Böll,masculino,true
496,Enzo Siciliano,masculino,true
497,Mario Tobino,masculino,true
498,Martín Caparrós,masculino,true
499,Luis García Montero,masculino,true
500,Anatole France,masculino,true
501,Pietro Citati,masculino,true
502,Raffaele Brignetti,masculino,true
503,Helena Janeczek,femenino,true
504,Juan Villoro,masculino,true
505,Juan Pablo Villalobos,masculino,true
506,Wisława Szymborska.,femenino,true
507,Patrick Besson,masculino,true
508,José Manuel Caballero Bonald,masculino,true
509,Frédéric Mistral,masculino,true
510,Henryk Sienkiewicz,masculino,true
511,Vittorio Gorresio,masculino,true
512,Walter Siti,masculino,true
513,Peter Handke,masculino,true
514,William Maxwell,masculino,true
515,Miguel Ángel Velasco,masculino,true
516,Robert Stone,masculino,true
517,Jacques Chardonne,masculino,true
518,Michel Mohrt,masculino,true
519,Pierre Michon,masculino,true
520,Charles R. Johnson,masculino,true
521,Norman Rush,masculino,true
522,Yasunari Kawabata,masculino,true
523,Mario Pomilio,masculino,true
524,Sebastiano Vassalli,masculino,true
525,Sandro Veronesi,masculino,true
526,Henri Bergson,masculino,true
527,Svetlana Aleksiévich,femenino,true
528,Sully Prudhomme,masculino,true
529,Czesław Miłosz,masculino,true
530,Joan Manuel Gisbert,masculino,true
531,Antonio Soler,masculino,true
532,Irina Yuryevna Kuberskaya,femenino,true
533,Ana Isabel Conejo,femenino,true
534,Christophe Ono-dit-Biot,masculino,true
535,Daniel Rondeau,masculino,true
536,Jean Hougron,masculino,true
537,Jean Husson,masculino,true
538,Joseph-Henri Louwyck,masculino,true
539,Jean Balde,femenino,true
540,Tiziano Scarpa,masculino,true
541,Alberto Bevilacqua,masculino,true
542,Jaimy Gordon,femenino,true
543,V. S. Naipaul,masculino,true
544,John Coetzee,masculino,true
545,Alice McDermott,femenino,true
546,Lily Tuck,femenino,true
547,Paolo Volponi,masculino,true
548,Francisco Casavella,masculino,true
549,Gesualdo Bufalino,masculino,true
550,Guadalupe Nettel,femenino,true
551,Alejandro Cuevas,masculino,true
552,Lorenzo Oliván,masculino,true
553,Félix de Azúa,masculino,true
554,Pedro Zarraluki,masculino,true
555,Eimear McBride,femenino,true
556,Lisa McInerney,femenino,true
557,Giosuè Carducci,masculino,true
558,Carles Cano Peiró,masculino,true
559,José Agustín Goytisolo,masculino,true
560,Roberto guevara sosa,masculino,true
561,Pablo Armando Fernández,masculino,true
562,Alfredo Conde,masculino,true
563,Rafael Argullol,masculino,true
564,Dalton Trevisan,masculino,true
565,Luis Bagué Quílez,masculino,true
566,Luisgé Martín,masculino,true
567,Juana Salabert,femenino,true
568,Nivaria Tejera,femenino,true
569,Beatriz Doumerc,femenino,true
570,Camille Mayran,femenino,true
571,Eliacer Cansino,masculino,true
572,Frédérique Hébrard,femenino,true
573,Geneviève Dormann,femenino,true
574,Henriette Jelinek,femenino,true
575,Asun Balzola,femenino,true
576,Jacques de Bourbon Busset,masculino,true
577,Vassilis Alexakis,masculino,true
578,Michel Droit,masculino,true
579,Fausta Cialente,femenino,true
